#,Company,Symbol,Weight,Price,Chg,% Chg
63,Starbucks Corporation,SBUX,0.367256,86.33,0.18,(0.21%)
64,3M Company,MMM,0.337347,160.10,-2.79,(-1.71%)
65,Lowe's Companies Inc.,LOW,0.335907,121.48,-0.03,(-0.02%)
66,CVS Health Corporation,CVS,0.332663,71.46,0.62,(0.88%)
67,Fidelity National Information Services Inc.,FIS,0.326871,146.46,-0.88,(-0.60%)
68,American Express Company,AXP,0.322729,131.82,-1.43,(-1.07%)
69,Altria Group Inc,MO,0.313648,46.28,-0.38,(-0.81%)
70,Gilead Sciences Inc.,GILD,0.310779,69.01,0.80,(1.17%)
71,Mondelez International Inc. Class A,MDLZ,0.303009,58.01,-0.41,(-0.70%)
72,Charter Communications Inc. Class A,CHTR,0.297959,523.00,-3.56,(-0.68%)
73,Booking Holdings Inc.,BKNG,0.296204,"1,909.59",-51.31,(-2.62%)
74,Cigna Corporation,CI,0.28558,209.00,-2.86,(-1.35%)
75,Automatic Data Processing Inc.,ADP,0.281305,179.10,-1.16,(-0.64%)
76,U.S. Bancorp,USB,0.281135,54.62,-0.18,(-0.33%)
77,Goldman Sachs Group Inc.,GS,0.278179,237.95,-3.87,(-1.60%)
78,Intuit Inc.,INTU,0.275199,294.00,-0.21,(-0.07%)
79,CME Group Inc. Class A,CME,0.275055,213.20,0.57,(0.27%)
80,Caterpillar Inc.,CAT,0.27381,133.30,-3.95,(-2.88%)
81,TJX Companies Inc,TJX,0.270603,61.38,-0.44,(-0.71%)
82,United Parcel Service Inc. Class B,UPS,0.269417,103.23,-3.28,(-3.08%)
83,Chubb Limited,CB,0.266833,162.73,-0.49,(-0.30%)
84,Truist Financial Corporation,TFC,0.262267,54.27,0.09,(0.17%)
85,S&P Global Inc.,SPGI,0.261076,295.48,-0.04,(-0.01%)
86,Southern Company,SO,0.260591,68.38,-0.46,(-0.67%)
87,Anthem Inc.,ANTM,0.258426,276.30,-6.03,(-2.14%)
88,Duke Energy Corporation,DUK,0.25508,96.27,-0.66,(-0.68%)
89,Stryker Corporation,SYK,0.253655,214.81,-3.43,(-1.57%)
90,Dominion Energy Inc,D,0.253334,84.81,-0.46,(-0.54%)
91,Fiserv Inc.,FISV,0.25083,121.43,-0.24,(-0.20%)
92,Prologis Inc.,PLD,0.248299,93.14,0.03,(0.03%)
93,Becton Dickinson and Company,BDX,0.246269,247.00,-5.25,(-2.08%)
94,Morgan Stanley,MS,0.244256,54.90,-0.11,(-0.20%)
95,Intuitive Surgical Inc.,ISRG,0.242654,579.00,-2.55,(-0.44%)
96,PNC Financial Services Group Inc.,PNC,0.241755,153.35,0.50,(0.33%)
97,Zoetis Inc. Class A,ZTS,0.238348,138.90,-0.07,(-0.05%)
98,BlackRock Inc.,BLK,0.236123,555.74,1.07,(0.19%)
99,Colgate-Palmolive Company,CL,0.235523,76.03,-0.28,(-0.37%)
100,Micron Technology Inc.,MU,0.234482,56.83,-1.85,(-3.15%)
101,ServiceNow Inc.,NOW,0.232587,340.00,-1.70,(-0.50%)
102,ConocoPhillips,COP,0.231339,57.99,-0.42,(-0.72%)
103,Raytheon Company,RTN,0.228584,228.51,-0.02,(-0.01%)
104,Allergan plc,AGN,0.228012,196.69,3.81,(1.98%)
105,Crown Castle International Corp,CCI,0.224669,150.49,-0.01,(-0.01%)
106,Vertex Pharmaceuticals Incorporated,VRTX,0.221965,241.78,2.66,(1.11%)
107,CSX Corporation,CSX,0.21984,77.76,-0.56,(-0.72%)
108,Biogen Inc.,BIIB,0.219668,338.70,1.46,(0.43%)
109,Global Payments Inc.,GPN,0.218049,200.79,-0.88,(-0.44%)
110,Boston Scientific Corporation,BSX,0.216391,42.19,-0.82,(-1.91%)
111,Marsh & McLennan Companies Inc.,MMC,0.212394,116.68,0.23,(0.20%)
112,Target Corporation,TGT,0.210434,115.58,0.44,(0.38%)
113,Applied Materials Inc.,AMAT,0.210332,61.70,-1.49,(-2.36%)
114,Northrop Grumman Corporation,NOC,0.206224,361.42,-2.33,(-0.64%)
115,Norfolk Southern Corporation,NSC,0.200177,210.18,-2.50,(-1.18%)
116,Air Products and Chemicals Inc.,APD,0.199781,249.92,-1.14,(-0.45%)
117,Advanced Micro Devices Inc.,AMD,0.198252,49.80,0.48,(0.97%)
118,Charles Schwab Corporation,SCHW,0.19738,47.31,-0.52,(-1.09%)
119,Illinois Tool Works Inc.,ITW,0.196315,183.54,-2.53,(-1.36%)
120,Aon plc,AON,0.19392,230.13,0.53,(0.23%)
121,Deere & Company,DE,0.191527,167.45,-1.41,(-0.84%)
